Search name,Object,Epoch (TDB),TP (TDB),e,i (deg),w (deg),Node (deg),q (AU),Q (AU),P (yr),MOID (AU),A1 (AU/d^2),A2 (AU/d^2),A3 (AU/d^2),DT (d),ref,Object_name
McNaught,P/2004 R1 (McNaught),54629,2455248.548,0.682526943,4.894555854,0.626837835,295.9854497,0.986192006,5.23,5.48,0.027011,,,,,20,P/2004 R1 (McNaught)
Catalina-McNaught,P/2008 S1 (Catalina-McNaught),55101,2454741.329,0.666312781,15.1007464,203.6490232,111.3920029,1.190641555,5.95,6.74,0.194101,,,,,13,P/2008 S1 (Catalina-McNaught)
Halley,1P/Halley,49400,2446467.395,0.967142909,162.2626906,111.3324851,58.42008098,0.585978112,35.08,75.32,0.063782,2.70E-10,1.55E-10,,,J863/77,1P/Halley
Encke,2P/Encke,56870,2456618.204,0.848268251,11.77999525,186.5403463,334.5698056,0.336092386,4.09,3.3,0.173092,1.58E-10,-5.05E-12,,,74,2P/Encke
Biela,3D/Biela,-9480,2390514.115,0.751299,13.2164,221.6588,250.669,0.879073,6.19,6.65,0.000518,3.90E-09,-2.54E-10,,,IAUCAT03,3D/Biela
Brorsen,5D/Brorsen,7440,2407439.534,0.809796,29.3821,14.9468,102.9676,0.589847,5.61,5.46,0.366559,1.27E-08,1.34E-09,,,IAUCAT03,5D/Brorsen
Pons-Winnecke,7P/Pons-Winnecke,56981,2457053.028,0.637527505,22.33501476,172.5061606,93.41632728,1.239214834,5.6,6.32,0.224191,7.86E-11,-1.15E-11,-1.53E-10,131,K088/14,7P/Pons-Winnecke
Tuttle,8P/Tuttle,54374,2454492.526,0.819799747,54.98318484,207.509246,270.341652,1.027116587,10.37,13.61,0.09531,6.89E-10,1.37E-10,-4.59E-10,,K074/27,8P/Tuttle
Pons-Brooks,12P/Pons-Brooks,35000,2434885.381,0.954812394,74.17689423,199.0284686,255.8911444,0.773667087,33.47,70.85,0.1873,-1.02E-09,-2.71E-10,,,15,12P/Pons-Brooks
Olbers,13P/Olbers,35760,2435643.635,0.930297148,44.60988573,64.64120652,86.10312835,1.178450614,32.64,69.52,0.477199,9.45E-09,6.49E-10,,,10,13P/Olbers
Finlay,15P/Finlay,57003,2457018.557,0.720183766,6.798912616,347.5528394,13.7781465,0.975900773,6,6.51,0.009433,4.08E-09,6.65E-11,,,K085/14,15P/Finlay
Perrine-Mrkos,18D/Perrine-Mrkos,40240,2440162.042,0.642580982,17.75898277,166.0504171,240.8755466,1.272248081,5.85,6.72,0.28923,,,,,J682/18,18D/Perrine-Mrkos
Westphal,20D/Westphal,20080,2420098.29,0.919831189,40.89006106,57.08095497,348.0064469,1.254012762,30.03,61.87,0.468283,,,,,19,20D/Westphal
Giacobini-Zinner,21P/Giacobini-Zinner,56498,2455969.126,0.706817887,31.90810099,172.5844249,195.3970145,1.030696274,6,6.59,0.035395,3.35E-09,-4.29E-10,-9.57E-10,-32.8,K123/6,21P/Giacobini-Zinner
